,x1,y1,z1,x3,y3,z3,y1_var,y1_resampled,y1_actual_signal
132,-904,-916,-904.0,-936.0,-904.0,-924.0,,,
133,-904,-924,-872.0,-908.0,-828.0,-860.0,,,
134,-756,-840,-756.0,-840.0,-756.0,-840.0,,,
135,-756,-628,-480.0,-628.0,-444.0,-804.0,,,
136,-772,-724,-644.0,-440.0,-480.0,-760.0,,,
137,-636,-500,-716.0,-620.0,-1112.0,-440.0,,,
138,-900,-1168,-1220.0,-920.0,-1084.0,-872.0,,,
139,-960,-428,-956.0,-432.0,-916.0,-240.0,,,
140,-768,-144,-608.0,-104.0,-608.0,-104.0,,,
141,-272,-108,-232.0,-140.0,-360.0,-312.0,,,
142,-176,-192,-248.0,-96.0,-236.0,-156.0,,,
143,-1016,-124,24.0,-240.0,-536.0,-248.0,,,
144,-476,-168,-468.0,-64.0,-452.0,-132.0,,,
145,-384,-232,-416.0,-124.0,-360.0,-200.0,,,
146,-388,-216,-400.0,-236.0,-340.0,-208.0,,,
147,-364,-108,-336.0,-284.0,-336.0,-236.0,,,
148,-360,-316,-340.0,-128.0,-348.0,-300.0,,,
149,-340,-220,-352.0,-208.0,-348.0,-224.0,,,
150,-344,-196,-344.0,-216.0,-308.0,-208.0,,,
151,-324,-180,-316.0,-240.0,-308.0,-196.0,,,
152,-292,-236,-292.0,-212.0,-296.0,-236.0,,,
153,-296,-236,-300.0,-168.0,-284.0,-180.0,,,
154,-280,-216,-280.0,-216.0,-284.0,-212.0,,,
155,-284,-212,-272.0,-212.0,-284.0,-200.0,,,
156,-276,-220,-276.0,-220.0,-276.0,-220.0,,,
157,-276,-220,-280.0,-208.0,-276.0,-212.0,,,
158,-284,-208,-284.0,-208.0,-276.0,-196.0,,,
159,-268,-204,-272.0,-208.0,-268.0,-204.0,,,
160,-272,-200,-272.0,-200.0,-272.0,-212.0,,,
161,-276,-200,-272.0,-208.0,-264.0,-196.0,,,
162,-268,-196,-264.0,-196.0,-268.0,-204.0,,,
163,-264,-200,-264.0,-200.0,-268.0,-200.0,,,
164,-268,-204,-264.0,-200.0,-260.0,-200.0,,,
165,-260,-212,-260.0,-192.0,-264.0,-208.0,,,
166,-264,-208,-264.0,-204.0,-260.0,-208.0,,,
167,-260,-200,-260.0,-192.0,-260.0,-212.0,,,
168,-264,-204,-260.0,-188.0,-256.0,-172.0,,,
169,-260,-220,,,,,,,
